,Date,mtt_signal,mansfield_rs,minervini_rs,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline,code,銘柄名,33業種区分,17業種区分,規模区分,市場・商品区分
0,2024-08-02,0,0.8514803378614433,1.6443194428464691,False,False,False,True,0,50500,1301,極洋,水産・農林業,食品,TOPIX Small 2,プライム（内国株式）
1,2024-08-02,0,-1.2911677969309254,0.7938277859015862,False,False,False,True,0,1616580,1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,-,-,-,ETF・ETN
2,2024-08-02,0,-1.0082203806980772,1.1383552591719908,False,False,False,True,0,7249280,1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,-,-,-,ETF・ETN
3,2024-08-02,0,-1.1408838812709043,1.018795577634218,False,False,False,True,0,10843685,1308,上場インデックスファンドＴＯＰＩＸ,-,-,-,ETF・ETN
4,2024-08-02,0,-0.6450099302435341,-3.825383928081854,False,False,False,True,0,640,1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,-,-,-,ETF・ETN
5,2024-08-02,0,-44.87911956538325,-45.660347784521754,False,True,False,True,0,110000,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,医薬品,-,グロース（内国株式）
6,2024-08-02,0,0.026138482519200146,3.381984592978285,False,False,False,True,0,130390,1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,-,-,-,ETF・ETN
7,2024-08-02,0,2.876706410196661,3.900047895030844,False,False,True,False,7000,0,1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,-,-,-,ETF・ETN
8,2024-08-02,0,-0.9880815426163148,1.8352121879516226,False,False,False,True,0,101377,1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,-,-,-,ETF・ETN
9,2024-08-02,0,-0.9033036380415749,1.8807618938585648,False,False,False,True,0,1284818,1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,-,-,-,ETF・ETN
10,2024-08-02,0,0.16183798426845364,-2.6379349533617313,False,False,True,False,540,0,1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,-,-,-,ETF・ETN
11,2024-08-02,0,-16.689643445751766,-18.10798652767956,False,True,False,True,0,161000,1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,-,-,-,ETF・ETN
12,2024-08-02,0,13.871738091064834,16.40999655400558,False,False,True,False,13675,0,1326,ＳＰＤＲゴールド・シェア,-,-,-,ETF・ETN
13,2024-08-02,0,13.08586743220399,15.377493933275154,False,False,True,False,30740,0,1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,-,-,-,ETF・ETN
14,2024-08-02,0,1.4819020990173515,4.106333036776282,False,False,False,True,0,231096,1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,-,-,-,ETF・ETN
15,2024-08-02,0,-1.054007914887256,1.770612071414217,False,False,False,True,0,166358,1330,上場インデックスファンド２２５,-,-,-,ETF・ETN
16,2024-08-02,0,0.37310167159199104,3.7983970032776573,False,False,False,True,0,1627000,1332,ニッスイ,水産・農林業,食品,TOPIX Mid400,プライム（内国株式）
17,2024-08-02,0,6.486554655458598,10.398402994831324,False,False,False,True,0,175200,1333,マルハニチロ,水産・農林業,食品,TOPIX Mid400,プライム（内国株式）
18,2024-08-02,0,3.7402929742612834,-2.9541331501754713,False,False,True,False,101464,0,133A,グローバルＸ　超短期米国債　ＥＴＦ,-,-,-,ETF・ETN
19,2024-08-02,0,-3.0237158502250394,-7.89714213835243,False,False,False,True,0,1113000,1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,-,-,-,ETF・ETN
20,2024-08-02,0,-3.3014500136811065,-7.86500727611565,False,False,False,True,0,209600,1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,-,-,-,ETF・ETN
21,2024-08-02,0,-0.687183261747415,2.1286423850853757,False,False,False,True,0,75584,1346,ＭＡＸＩＳ　日経２２５上場投信,-,-,-,ETF・ETN
22,2024-08-02,0,3.008721654753277,5.253645153593558,False,False,True,False,1461180,0,1348,ＭＡＸＩＳ　トピックス上場投信,-,-,-,ETF・ETN
23,2024-08-02,0,1.655660524892566,1.5511511781559097,False,False,False,False,0,0,1349,ＡＢＦ汎アジア債券インデックス・ファンド,-,-,-,ETF・ETN
24,2024-08-02,0,-3.033068937747996,-8.372343542709359,False,False,True,False,5171170,0,1356,ＴＯＰＩＸベア２倍上場投信,-,-,-,ETF・ETN
25,2024-08-02,0,-3.8105771978486302,-10.119587001922786,False,False,True,False,180134757,0,1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,-,-,-,ETF・ETN
