Date,mtt_on,mtt_off,mtt_condition,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline
2009-01-05,0,0,0,0,0,557,1266,318067479,946330038
2009-01-06,0,0,0,0,0,963,1026,714783633,1378570301
2009-01-07,0,0,0,0,0,1018,1029,1437843071,1636637107
2009-01-08,0,0,0,0,0,629,1352,976267371,1358866299
2009-01-09,0,0,0,0,0,972,972,1334530350,895803225
2009-01-13,0,0,0,0,0,503,1489,241639356,4369868731
2009-01-14,0,0,0,0,0,1172,774,1194678818,856064698
2009-01-15,0,0,0,0,0,775,1190,298804234,3401509738
2009-01-16,0,0,0,0,0,1422,408,1768070081,715792249
2009-01-19,0,0,0,0,0,945,944,1223301577,1401226656
2009-01-20,0,0,0,0,0,878,1077,370995741,2073009787
2009-01-21,0,0,0,0,0,702,1268,1832264060,2589726531
2009-01-22,0,0,0,0,0,1214,794,2315601610,636685647
2009-01-23,0,0,0,0,0,590,1478,499874850,2202151467
2009-01-26,0,0,0,0,0,827,1150,391878191,1885596663
2009-01-27,0,0,0,0,0,1315,447,687633160,91957575
2009-01-28,0,0,0,0,0,1007,926,848469209,1208671992
2009-01-29,0,0,0,0,0,1071,878,1805251831,1063609470
2009-01-30,0,0,0,0,0,673,1312,716244988,1590034163
2009-02-02,0,0,0,0,0,656,1285,437062205,1879111365
2009-02-03,0,0,0,0,0,643,1164,661787889,2033465540
2009-02-04,0,0,0,0,0,1360,550,1703338870,1039376697
2009-02-05,0,0,0,0,0,668,1251,725665817,2094121011
2009-02-06,0,0,0,0,0,852,1050,1654091959,726784918
2009-02-09,0,0,0,0,0,478,1550,1171570869,1235396935
2009-02-10,0,0,0,0,0,1058,1049,747596892,1769595606
2009-02-12,0,0,0,0,0,719,1209,1448189380,1649550287
2009-02-13,0,0,0,0,0,1092,852,1246781709,1400579497
2009-02-16,0,0,0,0,0,847,759,760912926,1235682182
2009-02-17,0,0,0,0,0,582,1339,214858695,1721373078
2009-02-18,0,0,0,0,0,949,966,560224921,1609912277
2009-02-19,0,0,0,0,0,945,922,614713376,1589538344
2009-02-20,0,0,0,0,0,512,1399,554321634,1591495948
2009-02-23,0,0,0,0,0,941,1042,937746130,1304950788
2009-02-24,0,0,0,0,0,1094,869,1733942971,936240028
2009-02-25,0,0,0,0,0,1272,707,2103794387,839866580
2009-02-26,0,0,0,0,0,1027,906,712834363,1562184992
2009-02-27,0,0,0,0,0,1422,602,1999080427,492979771
2009-03-02,0,0,0,0,0,590,1395,515547560,1723705864
2009-03-03,0,0,0,0,0,892,941,724214054,1526051399
2009-03-04,0,0,0,0,0,1428,506,1189664097,1372436353
2009-03-05,0,0,0,0,0,883,1048,1608601696,1054633805
2009-03-06,0,0,0,0,0,562,1369,129197503,2308145618
2009-03-09,0,0,0,0,0,701,1228,521849709,1620649968
2009-03-10,0,0,0,0,0,876,996,1130472689,1076780825
2009-03-11,0,0,0,0,0,856,1087,1066957236,1546988391
2009-03-12,0,0,0,0,0,658,1226,242384584,2924276266
