Date,mtt_on,mtt_off,mtt_condition,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline
2004-04-01,0,0,0,0,0,775,964,17087973415,7653177117
2004-04-02,0,0,0,0,0,1020,728,3487911278,11734796557
2004-04-05,0,0,0,0,0,866,962,19544830278,2792459252
2004-04-06,0,0,0,0,0,763,1008,641267944,16454087871
2004-04-07,0,0,0,0,0,904,834,3710505638,6216313664
2004-04-08,0,0,0,0,0,1110,642,20476346366,1173912505
2004-04-09,0,0,0,0,0,532,1208,5798074427,6740024287
2004-04-12,0,0,0,0,0,1366,414,14127778647,149801517
2004-04-13,0,0,0,0,0,943,845,15023921988,5962350068
2004-04-14,0,0,0,0,0,1183,596,29904333557,2844249606
2004-04-15,0,0,0,0,0,304,1580,1400003083,22909368892
2004-04-16,0,0,0,0,0,866,903,5642673039,17650405773
2004-04-19,0,0,0,0,0,401,1428,2836580613,13994418722
2004-04-20,0,0,0,0,0,1193,559,18134783428,6973641311
2004-04-21,0,0,0,0,0,919,812,10245136241,7688431357
2004-04-22,0,0,0,0,0,845,894,7259654453,8607343028
2004-04-23,0,0,0,0,0,771,996,9924445198,7517841727
2004-04-26,0,0,0,0,0,780,983,1887274354,14152635054
2004-04-27,0,0,0,0,0,709,1030,4858432398,6214510607
2004-04-28,0,0,0,0,0,850,875,37412487052,5334220275
2004-04-29,0,0,0,0,0,0,0,0,0
2004-04-30,0,0,0,0,0,845,915,34418906851,5607325434
2004-05-03,0,0,0,0,0,0,0,0,0
2004-05-04,0,0,0,0,0,0,0,0,0
2004-05-05,0,0,0,0,0,0,0,0,0
2004-05-06,0,0,0,0,0,432,1362,762823083,35374037132
2004-05-07,0,0,0,0,0,711,1036,569432307,9689122981
2004-05-10,0,0,0,0,0,132,1786,87422637,44052676934
2004-05-11,0,0,0,0,0,1289,520,2299076122,26395239277
2004-05-12,0,0,0,0,0,1187,553,9454770395,15721739616
2004-05-13,0,0,0,0,0,349,1369,6087155244,7782863809
2004-05-14,0,0,0,0,0,584,1119,6646095624,10263193718
2004-05-17,0,0,0,0,0,173,1668,88315583,18891812493
2004-05-18,0,0,0,0,0,1427,343,31692363519,138384231
2004-05-19,0,0,0,0,0,1401,349,12204592264,137700525
2004-05-20,0,0,0,0,0,906,793,27136762293,2459993546
2004-05-21,0,0,0,0,0,1331,402,8159591725,10069545511
2004-05-24,0,0,0,0,0,810,894,9619732339,545940512
2004-05-25,0,0,0,0,0,503,1222,176679255,17294413730
2004-05-26,0,0,0,0,0,733,944,8013548050,1715548285
2004-05-27,0,0,0,0,0,564,1081,5086685161,4277625044
2004-05-28,0,0,0,0,0,1022,628,2766515952,6791102326
2004-05-31,0,0,0,0,0,660,966,1610912732,2940939255
2004-06-01,0,0,0,0,0,989,625,2030807857,4672149449
2004-06-02,0,0,0,0,0,527,1105,3670728789,3274058056
2004-06-03,0,0,0,0,0,341,1361,3238454167,6945038856
2004-06-04,0,0,0,0,0,1005,597,9202496680,869907953
2004-06-07,0,0,0,0,0,1261,427,6671722147,5262462714
2004-06-08,0,0,0,0,0,633,999,289045187,21466467856
2004-06-09,0,0,0,0,0,777,852,1765005064,13156215247
2004-06-10,0,0,0,0,0,1250,437,17381052009,1257678666
2004-06-11,0,0,0,0,0,989,686,7821013628,3956916471
2004-06-14,0,0,0,0,0,883,820,4678127353,1198473534
2004-06-15,0,0,0,0,0,578,1105,5062474300,5891710127
2004-06-16,0,0,0,0,0,1056,648,11624964821,606231236
2004-06-17,0,0,0,0,0,808,885,2409254175,4838481408
2004-06-18,0,0,0,0,0,432,1337,3258208065,5279356488
2004-06-21,0,0,0,0,0,1010,701,5821506363,3554817247
2004-06-22,0,0,0,0,0,724,977,4763616707,2823955633
2004-06-23,0,0,0,0,0,544,1172,9509985889,2007808841
2004-06-24,0,0,0,0,0,892,762,6268634463,812014223
2004-06-25,0,0,0,0,0,837,852,7657676023,822099837
2004-06-28,0,0,0,0,0,1209,508,5701046972,204893180
2004-06-29,0,0,0,0,0,959,737,3437733011,2598244748
2004-06-30,0,0,0,0,0,988,724,6350479909,714456961
2004-07-01,0,0,0,0,0,713,1050,6991303662,1564013509
2004-07-02,0,0,0,0,0,766,931,3934373547,1336196275
2004-07-05,0,0,0,0,0,494,1273,3166658776,4580740579
2004-07-06,0,0,0,0,0,574,1123,1684983386,4880026383
2004-07-07,0,0,0,0,0,893,820,1827280682,6190971272
2004-07-08,0,0,0,0,0,613,1050,4734464563,2035148432
2004-07-09,0,0,0,0,0,1314,415,8853076591,151753905
2004-07-12,0,0,0,0,0,1073,630,6634452178,1185656763
2004-07-13,0,0,0,0,0,827,912,10892502979,439250674
2004-07-14,0,0,0,0,0,313,1491,9476146966,19892077132
2004-07-15,0,0,0,0,0,474,1281,5263422272,10227818918
2004-07-16,0,0,0,0,0,1123,559,6630764134,713143398
2004-07-19,0,0,0,0,0,0,0,0,0
2004-07-20,0,0,0,0,0,614,1057,8716495450,714751626
2004-07-21,0,0,0,0,0,1059,603,6533111791,2348772627
2004-07-22,0,0,0,0,0,811,818,2062644838,6732721790
2004-07-23,0,0,0,0,0,551,1130,2390334616,4302627427
2004-07-26,0,0,0,0,0,607,1127,2222427587,10661940870
2004-07-27,0,0,0,0,0,244,1565,128556962,9465940848
2004-07-28,0,0,0,0,0,905,743,8015836166,428622590
2004-07-29,0,0,0,0,0,483,1210,9795125449,1514732379
2004-07-30,0,0,0,0,0,1135,512,1120865879,12424218754
2004-08-02,0,0,0,0,0,684,959,5627099479,1658372725
2004-08-03,0,0,0,0,0,356,1306,6782545450,1440287553
2004-08-04,0,0,0,0,0,583,1117,1638625954,5057502199
2004-08-05,0,0,0,0,0,893,704,10604825638,2856973990
2004-08-06,0,0,0,0,0,1026,571,10382415085,274636472
2004-08-09,0,0,0,0,0,1181,450,3322652037,2287263471
2004-08-10,0,0,0,0,0,1027,580,6480840612,325895237
2004-08-11,0,0,0,0,0,898,723,5738853379,1951090252
2004-08-12,0,0,0,0,0,855,730,5276041328,1037523423
2004-08-13,0,0,0,0,0,453,1159,930758373,7293922083
2004-08-16,0,0,0,0,0,427,1196,2243663022,4933184222
2004-08-17,0,0,0,0,0,540,1058,2051194685,4027787114
2004-08-18,0,0,0,0,0,719,830,4289497744,4401886929
2004-08-19,0,0,0,0,0,1037,571,2749142846,4501752579
2004-08-20,0,0,0,0,0,1008,555,6397171238,1562776498
2004-08-23,0,0,0,0,0,804,773,1337742666,5412281056
2004-08-24,0,0,0,0,0,612,931,7921123999,2700672881
