Date,Adj Close,mtt_condition,mtt_on,mtt_off,mansfield_rs,minervini_rs,dorsey_rs,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline,st_fast_dir,st_slow_dir,code,銘柄名,33業種区分,17業種区分,規模区分,市場・商品区分,日経平均構成銘柄,mansfield_rsi,minervini_rsi
2024-08-07,2324.0,1,0,0,97.0958028484999,121.74613943567539,,False,False,True,False,13200,0,-1,-1,1436,ＧｒｅｅｎＥｎｅｒｇｙ　＆　Ｃｏｍｐａｎｙ,建設業,建設・資材,-,グロース（内国株式）,False,99,99.0
2024-08-07,2268.0,1,0,0,27.700671308276537,32.89849083731949,,False,False,True,False,11200,0,-1,-1,1799,第一建設工業,建設業,建設・資材,-,スタンダード（内国株式）,False,97,96.0
2024-08-07,840.0,1,0,0,24.161999927251365,36.37837804040903,,False,False,True,False,62800,0,-1,1,1826,佐田建設,建設業,建設・資材,TOPIX Small 2,スタンダード（内国株式）,False,96,96.0
2024-08-07,1853.0,1,0,0,20.75958847577326,21.632297829957672,,False,False,True,False,516400,0,-1,-1,1942,関電工,建設業,建設・資材,TOPIX Small 1,プライム（内国株式）,False,95,93.0
2024-08-07,2391.0,1,1,0,16.986239588321105,20.186683481079605,,False,False,True,False,600,0,-1,-1,1992,神田通信機,建設業,建設・資材,-,スタンダード（内国株式）,False,94,93.0
2024-08-07,4735.0,1,0,0,16.106395634038574,19.022514007554044,,False,False,True,False,27900,0,-1,-1,2226,湖池屋,食料品,食品,-,スタンダード（内国株式）,False,93,92.0
2024-08-07,346.0,1,0,0,23.959375012377436,28.557578024964535,,False,False,True,False,2305400,0,-1,-1,2317,システナ,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,False,96,95.0
2024-08-07,3385.0,1,0,0,40.31359301752819,48.013674627682455,,False,False,False,True,0,704200,1,1,2327,日鉄ソリューションズ,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,False,98,98.0
2024-08-07,617.0,1,0,0,37.2606641166465,53.5509376795775,,False,False,True,False,129800,0,-1,1,2329,東北新社,情報・通信業,情報通信・サービスその他,-,スタンダード（内国株式）,False,98,98.0
2024-08-07,2049.5,1,1,0,18.89047858297488,17.484692780788542,,False,False,True,False,2039300,0,1,1,2371,カカクコム,サービス業,情報通信・サービスその他,TOPIX Mid400,プライム（内国株式）,False,95,91.0
2024-08-07,460.0,1,1,0,24.441553076289544,23.33970859765072,,False,False,True,False,32200,0,-1,-1,2404,鉄人化ホールディングス,サービス業,情報通信・サービスその他,-,スタンダード（内国株式）,False,96,94.0
2024-08-07,3410.0,1,0,0,21.059245798815063,19.07982996356665,,False,False,True,False,28600,0,-1,-1,2477,手間いらず,情報・通信業,情報通信・サービスその他,TOPIX Small 2,スタンダード（内国株式）,False,95,92.0
2024-08-07,2335.0,1,0,0,19.1235055901503,13.330289786290308,,False,False,False,True,0,12800,-1,-1,2540,養命酒製造,食料品,食品,TOPIX Small 2,プライム（内国株式）,False,95,89.0
