"コード","銘柄名","市場","現在値","前日比(%)"
"1301","極洋","東P","3760","-165.0(-4.20%)"
"1305","ｉＦＴＯＰＩＸ（年１回決算型）","東ETF","2656.0","-181.0(-6.38%)"
"1306","ＮＦ　ＴＯＰＩＸ連動型上場投信","東ETF","2634.5","-171.5(-6.11%)"
"1308","上場インデックスファンドＴＯＰ","東ETF","2600.0","-175.0(-6.31%)"
"1309","上海株指数・上証５０連動型上場","東ETF","38110.0","-950.0(-2.43%)"
"130A","Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ","東G","787","-96.0(-10.87%)"
"1311","ＮＦ　ＴＯＰＩＸ　Ｃｏｒｅ３０","東ETF","1324.5","-94.5(-6.66%)"
"1319","ＮＦ日経３００株価指数連動型","東ETF","461.2","+1.2(+0.26%)"
"1320","ｉＦ日経２２５（年１回決算型）","東ETF","36890.0","-2,250.0(-5.75%)"
"1321","ＮＦ日経２２５連動型上場投信","東ETF","37050.0","-2,210.0(-5.63%)"
"1322","中国Ａ株パンダＣＳＩ３００","東ETF","7369.0","-31.0(-0.42%)"
"1324","ＮＦロシア連動型投信","東ETF","-","- (-%)"
"1325","ＮＦボベスパ連動型上場投信","東ETF","194.5","-9.8(-4.80%)"
"1326","ＳＰＤＲゴールド・シェア","東ETF","33980.0","+80.0(+0.24%)"
"1328","ＮＦ金価格連動型上場投資信託","東ETF","8949.0","-1.0(-0.01%)"
"1329","ｉＳコア　日経２２５","東ETF","38020.0","-1,750.0(-4.40%)"
"1330","上場インデックスファンド２２５","東ETF","37040.0","-2,230.0(-5.68%)"
"1332","ニッスイ","東P","831.2","-38.0(-4.37%)"
"1333","マルハニチロ","東P","3086.0","-174.0(-5.34%)"
"133A","グローバルＸ　超短期米国債","東ETF","1015.0","-7.0(-0.68%)"
"1343","ＮＦ東証ＲＥＩＴ連動型投信","東ETF","1827.5","-26.5(-1.43%)"
"1345","上場Ｊリート隔月分配型","東ETF","1712.5","-28.0(-1.61%)"
"1346","ＭＡＸＩＳ　日経２２５上場投信","東ETF","37070.0","-2,220.0(-5.65%)"
"1348","ＭＡＸＩＳ　トピックス上場投信","東ETF","2722.5","-74.5(-2.66%)"
"1349","ＡＢＦ汎アジア債券","東ETF","16005.0","-55.0(-0.34%)"
"1356","ＴＯＰＩＸベア２倍上場投信","東ETF","434.0","+47.8(+12.38%)"
"1357","ＮＦ日経平均ダブルインバース","東ETF","165.0","+17.0(+11.49%)"
"1358","上場日経レバレッジ指数","東ETF","44400.0","-5,700.0(-11.38%)"
"135A","ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ","東G","2422","-178.0(-6.85%)"
"1360","日経平均ベア２倍上場投信","東ETF","404.0","+41.8(+11.54%)"
"1364","ｉシェアーズ　ＪＰＸ日経４００","東ETF","24595.0","-1,025.0(-4.00%)"
"1365","ｉＦ日経平均レバレッジ","東ETF","36850.0","-4,780.0(-11.48%)"
"1366","ｉＦ日経平均ダブルインバース","東ETF","429.0","+45.0(+11.72%)"
"1367","ｉＦＴＰＸレバレッジ（２倍）","東ETF","32290.0","-4,540.0(-12.33%)"
"1368","ｉＦＴＰＸダブルインバース","東ETF","628.0","+69.0(+12.34%)"
"1369","ＤＩＡＭ　ＥＴＦ　日経２２５","東ETF","36050.0","-2,160.0(-5.65%)"
"1375","雪国まいたけ","東P","966","-34.0(-3.40%)"
"1376","カネコ種苗","東S","1388","-17.0(-1.21%)"
"1377","サカタのタネ","東P","3340","-55.0(-1.62%)"
"1379","ホクト","東P","1844","-27.0(-1.44%)"
"137A","Ｃｏｃｏｌｉｖｅ","東G","1166","-199.0(-14.58%)"
"1380","秋川牧園","東S","1026","-14.0(-1.35%)"
"1381","アクシーズ","東S","2899","-17.0(-0.58%)"
"1382","ホーブ","東S","2010","-98.0(-4.65%)"
"1383","ベルグアース","東S","2980","-85.0(-2.77%)"
"1384","ホクリヨウ","東S","950","-30.0(-3.06%)"
"138A","光フードサービス","東G","3490","-260.0(-6.93%)"
"1397","ＳＭＤＡＭ日経２２５","東ETF","36340.0","-2,240.0(-5.81%)"
"1398","ＳＭＤＡＭ東証ＲＥＩＴ指数","東ETF","1754.0","-15.5(-0.88%)"
"1399","上場ＭＳＣＩ日本株高配当低ボラ","東ETF","2082.0","-98.0(-4.50%)"
"1401","エムビーエス","東G","657","-43.0(-6.14%)"
"1407","ウエストＨＬＤＧ","東S","2227","-30.0(-1.33%)"
"140A","ｉＦ米国１０年国債先物インバ","東ETF","1947.0","-13.0(-0.66%)"
"1414","ショーボンドＨＬＤＧ","東P","5455.0","-159.0(-2.83%)"
"1417","ミライト・ワン","東P","1944.0","-84.5(-4.17%)"
"1418","インターライフＨＬＤＧ","東S","284","-12.0(-4.05%)"
"1419","タマホーム","東P","4190","-165.0(-3.79%)"
"141A","トライアルＨＬＤＧ","東G","2538","-98.0(-3.72%)"
"1420","サンヨーホームズ","東S","712","-12.0(-1.66%)"
"1429","日本アクア","東P","800","-60.0(-6.98%)"
"142A","ジンジブ","東G","2827","-154.0(-5.17%)"
"1430","ファーストコーポレーション","東S","735","-35.0(-4.55%)"
"1431","Ｌｉｂ　Ｗｏｒｋ","東G","623","-53.0(-7.84%)"
"1433","ベステラ","東P","874","-49.0(-5.31%)"
"1434","ＪＥＳＣＯ　ＨＬＤＧ","東S","779","-118.0(-13.15%)"
"1435","ｒｏｂｏｔ　ｈｏｍｅ","東S","160","-8.0(-4.76%)"
"1436","グリーンエナジー＆カンパニー","東G","2208","-180.0(-7.54%)"
"1438","岐阜造園","東S","1860","-43.0(-2.26%)"
"1439","安江工務店","東S","1348","-69.0(-4.87%)"
"143A","イシン","東G","884","-91.0(-9.33%)"
"1443","技研ＨＬＤＧ","東S","188","-10.0(-5.05%)"
"1444","ニッソウ","東G","2525","-127.0(-4.79%)"
"1446","キャンディル","東S","611","-22.0(-3.48%)"
"1447","ＩＴｂｏｏｋ　ＨＬＤＧ","東G","254","-20.0(-7.30%)"
"1449","ＦＵＪＩジャパン","札","286","+0.0(+0.00%)"
"1450","田中建設工業","東S","2242","-1.0(-0.04%)"
"1451","ＫＨＣ","東S","720","-21.0(-2.83%)"
"1456","ｉＦ日経平均インバース","東ETF","2858.0","+156.0(+5.77%)"
"1457","ｉＦＴＯＰＩＸインバース","東ETF","3380.0","+200.0(+6.29%)"
"1458","楽天ＥＴＦ日経レバレッジ指数","東ETF","28190.0","-3,630.0(-11.41%)"
"1459","楽天ＥＴＦ日経ダブルインバース","東ETF","667.0","+68.0(+11.35%)"
"145A","Ｌ　ｉｓ　Ｂ","東G","768","-49.0(-6.00%)"
"1464","ｉＦＪＰＸ日経４００レバ","東ETF","26605.0","-3,835.0(-12.60%)"
"1465","ｉＦＪＰＸ日経４００インバ","東ETF","3030.0","+90.0(+3.06%)"
"1466","ｉＦＪＰＸ４００ダブルインバ","東ETF","777.0","+80.0(+11.48%)"
"1469","ＪＰＸ日経４００ベア２倍","東ETF","763.6","+92.8(+13.83%)"
"146A","コロンビア・ワークス","東S","2806","-394.0(-12.31%)"
"1472","ＮＦ　ＪＰＸ４００ダブルインバ","東ETF","324.0","+45.0(+16.13%)"
"1473","ＤＩＡＭ　ＥＴＦ　トピックス","東ETF","2600.5","-149.0(-5.42%)"
"1474","ＤＩＡＭ　ＪＰＸ日経４００","東ETF","23645.0","-1,400.0(-5.59%)"
"1475","ｉＳコア　ＴＯＰＩＸ","東ETF","2628.0","-174.0(-6.21%)"
"1476","ｉＳコア　Ｊリート","東ETF","1756.0","-28.0(-1.57%)"
"1477","ｉシェアーズＭＳＣＩ最小分散","東ETF","2451.0","-64.0(-2.54%)"
"1478","ｉシェアーズＭＳＣＩ高配当","東ETF","3470.0","-155.0(-4.28%)"
