Date,Open,High,Low,Close,Volume
2009-01-05,871.01,883.68,870.99,875.91,1145434112
2009-01-06,883.15,883.15,872.38,876.2,2154792448
2009-01-07,881.43,896.21,880.26,888.25,2805086720
2009-01-08,879.64,879.69,860.16,860.89,2110675328
2009-01-09,863.82,866.15,849.32,855.02,1893242112
2009-01-13,845.07,845.07,814.12,814.12,1909948416
2009-01-14,818.21,828.3,813.07,819.39,1792249088
2009-01-15,807.68,807.68,792.72,795.99,2122391040
2009-01-16,805.24,820.55,802.75,817.89,1920028160
2009-01-19,825.18,828.88,815.51,817.73,1496248960
2009-01-20,812.91,813.46,795.82,805.03,1728015232
2009-01-21,793.7,795.82,784.5,787.15,1974886528
2009-01-22,795.05,796.39,781.39,795.91,1921851136
2009-01-23,789.39,789.39,773.28,773.55,1704291072
2009-01-26,772.59,777.91,767.82,768.28,1610485248
2009-01-27,776.84,809.94,776.84,805.49,2041794688
2009-01-28,802.82,812.32,791.86,804.33,1899526784
2009-01-29,812.42,822.14,807.5,818.47,2137865856
2009-01-30,808.58,808.58,787.35,794.03,1959303680
2009-02-02,785.66,785.66,770.55,777.85,2030284288
2009-02-03,776.48,796.2,772.02,773.79,2258320640
2009-02-04,779.56,795.53,776.15,792.78,2041420544
2009-02-05,790.33,799.56,783.75,786.41,2184234240
2009-02-06,794.62,803.47,787.54,790.84,1972583808
2009-02-09,798.85,803.6,778.9,778.9,1908132224
2009-02-10,787.5,792.24,775.25,778.1,1843613568
2009-02-12,769.02,770.68,756.98,760.29,1917161728
2009-02-13,766.19,773.38,759.2,764.59,1973610112
2009-02-16,763.12,772.45,762.43,770.1,1549245440
2009-02-17,765.1,765.15,754.89,756.53,1635665408
2009-02-18,747.84,751.63,744.37,749.26,1953135872
2009-02-19,753.78,757.28,749.53,751.59,1853887744
2009-02-20,751.9,752.31,736.21,739.53,1887968256
2009-02-23,730.6,737.72,721.79,735.28,2130335488
2009-02-24,725.46,730.28,717.85,730.28,2021342336
2009-02-25,739.47,746.72,732.99,745.62,2229805568
2009-02-26,745.11,755.08,739.24,742.53,2033118592
2009-02-27,744.14,756.76,741.18,756.71,1951988608
2009-03-02,745.74,745.78,729.86,734.59,1695183488
2009-03-03,724.04,731.73,714.96,726.8,1939302016
2009-03-04,720.01,734.54,715.22,732.04,2115698816
2009-03-05,736.83,751.81,736.52,741.55,2375570432
2009-03-06,731.93,731.93,720.76,721.39,2048857216
2009-03-09,721.81,724.26,705.42,710.53,1732050688
2009-03-10,705.49,708.74,700.83,703.5,1717693056
2009-03-11,713.91,729.12,713.78,722.28,1998522880
2009-03-12,717.87,718.03,698.46,700.93,1991414912
2009-03-13,707.62,726.2,707.35,724.3,2789082880
2009-03-16,731.61,747.08,731.61,741.69,2036845440
2009-03-17,747.64,763.29,743.62,760.64,2320741888
2009-03-18,766.23,772.59,758.36,764.67,2386244352
2009-03-19,771.25,774.27,762.46,764.77,1869287168
2009-03-23,766.92,792.13,765.49,791.56,2393352448
2009-03-24,803.28,815.4,801.84,812.72,2613266944
2009-03-25,815.77,821.02,809.23,818.49,2250275328
2009-03-26,813.85,827.38,809.22,826.81,1896211968
2009-03-27,833.96,845.64,824.53,824.53,2223082496
2009-03-30,825.06,829.08,789.54,789.54,2188389376
2009-03-31,785.7,797.26,769.98,773.66,2317158400
2009-04-01,780.51,795.75,778.21,793.82,2050019328
2009-04-02,803.57,829.8,803.3,826.69,2895039744
2009-04-03,835.01,843.46,826.17,831.36,2828957952
2009-04-06,840.75,847.36,827.22,830.97,2451224064
2009-04-07,830.93,835.92,827.26,832.6,2269907968
2009-04-08,824.6,825.64,810.34,815.26,2343274752
2009-04-09,822.2,842.52,821.7,841.81,2598652160
2009-04-10,850.64,854.88,836.3,845.97,3006455296
2009-04-13,844.28,856.08,840.45,848.97,2574523392
2009-04-14,852.17,852.92,833.73,843.42,2723071488
2009-04-15,838.53,839.73,825.79,835.25,2321887488
2009-04-16,843.49,855.19,829.47,832.04,2600001536
2009-04-17,840.24,848.06,839.4,845.57,2520103936
2009-04-20,847.0,849.22,838.26,848.3,2265509376
2009-04-21,838.02,838.02,818.32,830.72,2422635776
2009-04-22,836.8,838.97,825.26,829.96,2592149760
2009-04-23,833.28,841.75,823.31,839.5,2417940992
2009-04-24,839.36,845.06,829.96,830.05,2712467968
2009-04-27,838.97,843.86,826.7,833.1,2041676800
2009-04-28,830.07,839.34,811.99,811.99,2525609984
2009-04-30,822.9,841.67,822.9,837.79,2514838528
2009-05-01,840.13,849.29,837.68,846.85,2242502400
2009-05-07,858.93,885.93,858.93,885.93,3107104000
2009-05-08,883.36,895.35,880.89,895.35,2863699200
2009-05-11,899.57,906.47,889.91,900.45,3039100416
2009-05-12,892.54,894.72,885.43,885.43,2520080896
2009-05-13,886.77,892.04,880.46,888.75,2390642432
2009-05-14,877.83,878.58,860.44,862.66,2318545920
2009-05-15,868.78,882.86,867.98,881.65,2364545024
2009-05-18,872.98,872.98,856.76,859.71,2105162112
2009-05-19,871.59,883.81,871.46,879.76,2318788096
2009-05-20,885.62,889.36,881.21,886.3,2066291456
2009-05-21,880.09,881.44,872.53,881.44,2035203328
2009-05-22,871.49,879.84,867.65,875.88,2057335424
2009-05-25,878.48,888.82,878.48,883.0,2007824640
2009-05-26,887.1,888.2,877.55,883.77,1928123520
2009-05-27,893.48,898.14,891.46,892.85,2169900800
2009-05-28,885.76,898.37,885.71,895.59,2240046848
2009-05-29,897.99,898.34,890.74,897.91,2604215552
2009-06-01,898.35,914.26,895.56,912.52,2498985472
2009-06-02,922.92,923.89,913.56,913.56,2674945792
2009-06-03,914.73,919.71,913.37,914.5,2134778752
2009-06-04,910.26,918.11,908.36,910.99,2449959424
2009-06-05,918.59,920.75,913.6,916.56,2262018304
2009-06-08,923.25,930.23,922.55,926.89,2294479616
2009-06-09,924.02,927.55,916.9,918.24,2425741056
2009-06-10,923.33,937.94,922.63,937.01,2789056256
2009-06-11,937.87,942.62,936.41,940.65,3001458176
2009-06-12,946.3,954.08,943.66,950.54,3972052224
2009-06-15,952.88,952.99,944.43,946.82,2481697536
2009-06-16,936.11,937.24,914.14,914.76,2638309376
2009-06-17,911.1,924.87,911.1,923.03,2531414272
2009-06-18,919.54,919.54,906.29,911.21,2407232512
2009-06-19,917.09,924.84,913.11,918.97,2458054656
2009-06-22,921.02,928.88,917.35,922.48,2128877056
2009-06-23,911.6,912.22,897.25,901.69,2516643328
